gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,Churn,InternetService_Fiber optic,Contract_One year,Contract_Two year,Cluster
0,0,0,-1.2774445836787656,0,0,-1.3213496211870024,1,False,False,False,2
1,0,0,0.3513699651224484,1,0,-1.3213496211870024,0,False,True,False,3
0,0,1,0.7992939660427822,1,0,-1.5207546382825785,0,False,False,False,3
0,0,0,-1.2774445836787656,1,0,0.3735930241253952,1,False,True,False,1
1,0,0,1.4100994218432374,1,0,-0.4572612137728389,0,True,False,False,3
0,1,0,1.4508197855632678,1,1,0.8388713973484064,1,True,False,False,0
0,0,1,-0.3815965818380978,1,1,0.4068271936413246,0,True,False,False,1
1,0,1,1.6137012404433893,1,0,0.2406563460616778,0,False,False,False,0
1,0,0,1.5322605130033284,1,1,1.3041497705714176,1,True,False,False,0
1,0,0,-1.2774445836787656,1,0,-1.5207546382825785,1,False,True,False,2
1,0,0,-1.2774445836787656,1,0,-1.4875204687666492,0,False,False,False,2
1,0,1,0.0663274190822359,1,0,0.6394663802528302,0,False,False,True,1
1,1,1,-0.1779947632379461,1,1,-0.4572612137728389,0,True,True,False,2
0,1,0,-0.5851984004382496,1,1,0.6727005497687596,1,True,False,False,1
0,0,0,-0.7073594915983407,1,0,-1.4875204687666492,0,True,False,False,2
0,1,0,-0.8702409464784621,1,1,1.0050422449280532,1,True,False,True,1
1,0,0,-0.8702409464784621,1,0,-0.3575587052250508,1,False,True,False,2
1,0,1,-1.2774445836787656,1,1,0.174188007029819,1,True,False,True,1
0,0,1,0.188488510242327,1,0,0.805637227832477,0,False,False,False,0
1,0,1,-0.4223169455581282,1,0,0.805637227832477,1,True,False,False,1
0,0,0,-1.2774445836787656,1,0,0.174188007029819,0,False,False,False,1
0,0,1,-1.2774445836787656,1,0,-1.5207546382825785,0,False,True,False,2
1,0,1,0.5549717837226001,1,0,0.5065297021891128,0,False,False,False,0
0,0,0,0.758573602322752,1,1,1.4038522791192056,0,False,False,True,0
0,0,0,0.3513699651224484,1,0,1.3041497705714176,0,False,False,False,0
0,0,0,-1.1145631287986442,1,0,0.1077196679979603,1,False,False,False,1
0,0,0,0.5142514200025698,1,1,0.805637227832477,1,True,False,False,0
1,0,1,-0.1372743995179157,1,0,-0.1581536881294745,0,False,False,False,1
0,1,0,-0.7073594915983407,1,1,0.9053397363802652,0,False,False,True,1
1,0,0,1.6137012404433893,0,0,-0.0252170100657571,0,False,False,False,3
1,0,0,0.7178532386027215,1,1,1.3041497705714176,0,True,False,True,0
1,0,1,-0.2187151269579764,1,0,-1.45428629925072,0,True,False,False,2
1,0,0,1.6137012404433893,1,0,0.6727005497687596,0,False,True,False,0
0,0,1,0.758573602322752,1,0,0.174188007029819,0,False,False,False,0
0,0,0,1.125056875803025,1,0,0.971808075412124,0,False,False,False,0
1,0,0,-0.62591876415828,1,1,-1.5207546382825785,0,True,False,True,2
0,0,0,1.6137012404433893,1,0,-1.45428629925072,0,True,False,False,3
0,0,0,0.0256070553622056,1,0,1.3041497705714176,1,True,False,False,1
0,1,1,1.369379058123207,1,1,1.3373839400873468,0,True,False,False,0
0,0,1,1.4915401492832985,1,1,1.3041497705714176,1,True,False,False,0
1,0,0,-1.1145631287986442,1,0,0.174188007029819,1,False,True,False,1
0,0,0,1.002895784642934,1,1,1.2044472620236295,0,False,False,True,0
0,1,0,-0.9924020376385532,1,0,0.3735930241253952,1,False,True,False,1
0,0,0,-0.748079855318371,1,1,-0.4572612137728389,0,False,False,True,2
1,0,0,-0.3001558543980371,1,1,1.0050422449280532,1,False,False,False,1
0,0,1,0.7992939660427822,1,1,-1.4875204687666492,0,True,False,False,3
0,1,0,-1.0331224013585834,1,0,0.3735930241253952,1,False,False,False,1
1,0,0,-0.7888002190384014,1,0,0.5065297021891128,1,True,False,False,1
0,1,0,-0.7073594915983407,1,1,0.8388713973484064,1,False,False,True,1
1,0,0,-0.4223169455581282,1,1,-0.3243245357091214,1,False,False,True,1
0,0,0,-0.5444780367182193,1,1,-1.4875204687666492,0,True,False,False,2
1,0,1,-0.3815965818380978,0,0,-1.1551787736073555,0,True,False,False,2
0,0,0,1.6137012404433893,1,1,1.6364914657307112,0,False,False,False,0
1,1,0,1.6137012404433893,1,1,1.1047447534758412,0,True,False,False,0
0,0,1,1.0843365120829946,1,0,1.071510583959912,0,False,True,False,0
0,0,1,1.5322605130033284,1,1,0.3403588546094659,0,True,False,False,0
1,0,1,1.5322605130033284,1,1,1.2044472620236295,0,True,True,False,0
1,0,1,-0.9516816739185228,1,1,1.270915601055488,0,True,True,False,1
0,0,0,-1.1960038562387048,1,1,-1.3213496211870024,0,False,False,True,2
1,1,0,-0.62591876415828,1,1,1.2376814315395588,0,True,False,True,1
0,0,1,-0.1779947632379461,1,1,0.174188007029819,0,True,False,False,1
0,0,0,-0.9109613101984924,1,1,-0.3575587052250508,0,True,False,False,2
1,0,1,-0.8702409464784621,1,0,-1.45428629925072,0,False,False,True,2
1,1,0,1.6137012404433893,1,0,1.270915601055488,0,False,True,False,0
1,0,0,-0.9924020376385532,1,1,0.174188007029819,1,True,False,False,1
1,1,0,1.4915401492832985,1,0,-1.4875204687666492,0,False,False,False,3
0,0,1,0.2699292376823877,1,1,-1.4875204687666492,0,True,True,False,3
1,0,1,1.4100994218432374,0,0,-0.4572612137728389,0,False,False,True,3
1,0,0,0.2699292376823877,1,0,-1.4875204687666492,0,False,False,True,3
1,0,1,0.880734693482843,1,0,0.0412513289661016,0,True,False,False,0
0,0,0,-1.2774445836787656,1,0,0.3071246850935365,1,False,False,False,1
0,0,1,1.6137012404433893,0,0,-0.1581536881294745,0,False,True,False,3
1,0,0,-0.9109613101984924,1,1,1.1379789229917707,1,True,False,True,1
1,0,1,-0.7888002190384014,1,1,1.071510583959912,1,False,False,True,1
